계급,직렬,지역,부대,임용예정일
7급,군사정보,경기 양주,25사단,2019.10.1
7급,군수,대전,군수사령부,2019.10.1
7급,기체,충북 음성,특수작전항공단,2019.10.1
7급,수사,서울,5지구수사대,2019.10.1
7급,수사,강원 원주,1지구수사대,2019.10.1
7급,수사,경기 의정부,3지구수사대,2019.10.1
7급,전기,서울,수도방위사령부,2019.10.1
7급,전자,충남 천안,3탄약창,2019.10.1
7급,전자,세종,11탄약창,2019.10.1
7급,전차,세종,방공학교,2019.10.1
7급,전차,강원 인제,3군단,2019.10.1
7급,총포,대전,교육사령부,2019.10.1
7급,항공기관,경기 남양주,107항공대대,2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,서울,학군단(서울),2019.10.1
7급,행정,경기 용인,학군단(용인),2019.10.1
7급,행정,경기 수원,학군단(수원),2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,강원 춘천,학군단(강원대),2019.10.1
7급,행정,세종,학군단(세종 고려대),2019.10.1
7급,행정,서울,수도방위사령부,2019.10.1
7급,행정,서울,학군단(서울),2019.10.1
7급,행정,인천,학군단(인하대),2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,강원 원주,학군단(원주 연세대),2019.10.1
7급,행정,광주(전남),학군단(전남대),2019.10.1
7급,행정,경기 이천,정보학교,2019.10.1
7급,행정,경기 용인,지상작전사령부,2019.10.1
7급,행정,서울,학군단(서울),2019.10.1
7급,행정,경기 용인,학군단(용인),2019.10.1
7급,행정,대전,탄약사령부,2019.10.1
7급,행정,강원 춘천,2군단,2019.10.1
7급,행정,경기 수원,학군단(수원),2019.10.1
7급,행정,경기 안산,학군단(안산 한양대),2019.10.1
7급,행정,경북 구미,학군단(금오공대),2019.10.1
7급,행정,충북 영동,종합행정학교,2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,대구,학군단(경북대),2019.10.1
7급,행정,부산,학군단(부산대),2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,서울,육군사관학교,2019.10.1
7급,토목,,,2019.10.1
7급,토목,,,2019.10.1
7급,토목,,,2019.10.1
7급,토목,,,2019.10.1
7급,토목,,,2019.10.1
7급,환경,,,2019.10.1
7급,토목,강원 춘천,2군단사령부,2020.08.01.
7급,환경,전남 장성,상무대근무지원단,2020.08.01.
7급,군사정보,경기 이천,7군단사령부,2020.09.01.
7급,군수,강원 홍천,수송교육단,2020.09.01.
7급,행정,대전,교육사령부,2020.09.01.
7급,행정,대전,군수사령부,2020.09.01.
7급,물리분석,경남 창원,종합정비창,2021.02.01.
7급,행정,충남 계룡,인사사,2021.02.01.
7급,행정,경기 용인,55사단,2021.02.01.
7급,의무기록,,,2021.02.01.
7급,군사정보,강원 인제,3군단,2021.05.01.
7급,행정,충남 계룡,인사사령부,2021.05.01.
7급,행정,강원 철원,3사단,2021.05.01.
7급,행정,대구,2작전사령부,2021.05.01.
7급,의무기록,,,2021.05.01.
7급,행정,대구,5군수지원사령부,2021.07.01.
7급,의무기록,,,2021.07.01.
7급,의무기록,의무실,충남 계룡,2021.09.01.
7급,행정,3군단,강원 인제,2021.09.01.
7급,행정,1군단,경기 고양,2021.09.01.
7급,수사,계룡,육군수사단,2022.02.01.
7급,수사,계룡,육군수사단,2022.02.01.
7급,수사,계룡,육군수사단,2022.02.01.
7급,수사,계룡,육군수사단,2022.02.01.
7급,수사,양주,육군수사단(양주),2022.02.01.
7급,수사,계룡,육군수사단,2022.02.01.
7급,수사,포천,육군수사단(포천),2022.02.01.
7급,수사,양양,육군수사단(양양),2022.02.01.
7급,수사,계룡,육군수사단,2022.02.01.
7급,차량,포천,5군수지원여단(포천),2022.02.01.
7급,차량,양주,6군수지원단(양주),2022.02.01.
7급,차량,포천,5군수지원여단(포천),2022.02.01.
7급,행정,양구,21사단,2022.02.01.
7급,차량,,,2022.02.01.
7급,차량,,,2022.02.01.
7급,차량,,,2022.02.01.
7급,차량,,,2022.02.01.
7급,차량,충남 계룡,육군수사단,2022.05.01.
7급,차량,강원 인제,3군수지원여단,2022.05.01.
7급,차량,강원 인제,3군수지원여단,2022.05.01.
7급,차량,강원 화천,15사단,2022.05.01.
7급,행정,충남 계룡,분석평가단,2022.05.01.
7급,행정,강원 원주,미사일사령부,2022.05.01.
7급,군수,원주,36사단,2022.07.01.
7급,수사,대전,육군수사단(대전),2022.07.01.
7급,행정,원주,미사일사,2022.07.01.
7급,군수,용인,55사단,2022.09.01
7급,군수,인제,3군지여단,2022.09.01
7급,수사,인제,3군단,2022.09.01
7급,행정,삼척,23경비여단,2022.09.01
7급,행정,인제,3군단,2022.09.01
7급,행정,인제,3군단,2022.09.01
7급,건축,용인,지상작전사,2022.12.12
7급,건축,계룡,육군본부 공병실,2022.12.12
7급,건축,인제,3군단,2022.12.12
7급,건축,인제,3군단,2022.12.12
7급,건축,용인,동원전력사,2022.12.12
7급,건축,고양,56사단,2022.12.12
7급,건축,대구,5군지사,2022.12.12
7급,건축,이천,정보학교,2022.12.12
7급,건축,화성,51사단,2022.12.12
7급,건축,,,2022.12.12
7급,건축,장성,상무대근무지원단,2022.12.12
7급,건축,용인,지상작전사,2022.12.12
7급,건축,광명,52사단,2022.12.12
7급,군사정보,용인,동원전력사,2022.12.12
7급,군사정보,파주,1군단(파주),2022.12.12
7급,군사정보,고양,1군단,2022.12.12
7급,군사정보,이천,항공사령부,2022.12.12
7급,군사정보,원주,미사일전략사,2022.12.12
7급,군사정보,보령,32사단(보령),2022.12.12
7급,군사정보,용인,항공정비여단(용인),2022.12.12
7급,군사정보,용인,지상작전사,2022.12.12
7급,군사정보,양평,1군지사(양평),2022.12.12
7급,군사정보,용인,지상작전사,2022.12.12
7급,군사정보,서울,동원전력사(서울),2022.12.12
7급,군사정보,이천,3공수여단,2022.12.12
7급,군사정보,무안,31사단(무안),2022.12.12
7급,군사정보,장성,교육사(장성),2022.12.12
7급,군사정보,원주,항공정비여단(원주),2022.12.12
7급,군사정보,화천,7사단,2022.12.12
7급,군사정보,이천,7공병여단,2022.12.12
7급,군사정보,안양,수도군단,2022.12.12
7급,군사정보,홍천,3기갑여단,2022.12.12
7급,군사정보,포천,5군단,2022.12.12
7급,군사정보,포천,5군단,2022.12.12
7급,군사정보,양평,2신속사단,2022.12.12
7급,군사정보,철원,3사단,2022.12.12
7급,군사정보,강원 고성,22사단,2022.12.12
7급,군사정보,고양,1군단,2022.12.12
7급,군사정보,양주,25사단,2022.12.12
7급,군사정보,춘천,2군단,2022.12.12
7급,군사정보,장성,교육사(장성),2022.12.12
7급,군사정보,춘천,2군단,2022.12.12
7급,군사정보,홍천,20기갑여단,2022.12.12
7급,군사정보,강원 고성,22사단,2022.12.12
7급,군사정보,세종,32사단,2022.12.12
7급,군사정보,논산,항공학교,2022.12.12
7급,군사정보,양양,102기갑여단,2022.12.12
7급,군사정보,대구,2작사,2022.12.12
7급,군사정보,경남 고성,39사단(경남 고성),2022.12.12
7급,군사정보,화천,7사단,2022.12.12
7급,군사정보,영천,2작사(영천),2022.12.12
7급,군사정보,원주,미사일전략사,2022.12.12
7급,군사정보,대구,2작사,2022.12.12
7급,군사정보,세종,32사단,2022.12.12
7급,군사정보,인제,12사단,2022.12.12
7급,군사정보,임실,35사단,2022.12.12
7급,군사정보,창원,종합정비창,2022.12.12
7급,군사정보,익산,7공수여단,2022.12.12
7급,군사정보,파주,1군단(파주),2022.12.12
7급,군사정보,진주,39사단(진주),2022.12.12
7급,군사정보,순창,미사일전략사(순창),2022.12.12
7급,군사정보,논산,항공정비여단(논산),2022.12.12
7급,군사정보,양구,21사단,2022.12.12
7급,군수,가평,수기사단,2022.12.12
7급,군수,서울,육군사관학교,2022.12.12
7급,군수,파주,1군단(파주),2022.12.12
7급,군수,이천,특전사,2022.12.12
7급,군수,과천,1방공여단,2022.12.12
7급,군수,춘천,2군단,2022.12.12
7급,군수,가평,수기사단,2022.12.12
7급,군수,고양,1군단,2022.12.12
7급,군수,이천,종합정비창(이천),2022.12.12
7급,군수,포천,5군단,2022.12.12
7급,군수,인제,3군단,2022.12.12
7급,군수,고양,56사단,2022.12.12
7급,군수,안양,수도방위사령부(안양),2022.12.12
7급,군수,포천,5군단,2022.12.12
7급,군수,양평,1군지사(양평),2022.12.12
7급,군수,포천,5군단,2022.12.12
7급,군수,인제,3군단,2022.12.12
7급,군수,안양,수도군단,2022.12.12
7급,군수,원주,1군지사,2022.12.12
7급,군수,,,2022.12.12
7급,군수,안양,동원전력사(안양),2022.12.12
7급,군수,원주,1군지사,2022.12.12
7급,군수,포천,5군단,2022.12.12
7급,군수,안양,수도군단,2022.12.12
7급,군수,파주,1군단(파주),2022.12.12
7급,군수,화성,동원전력사(화성),2022.12.12
7급,군수,화천,2군단(화천),2022.12.12
7급,군수,서울,수도방위사령부,2022.12.12
7급,군수,홍천,3군수지원여단(홍천),2022.12.12
7급,군수,화천,2군단(화천),2022.12.12
7급,군수,포천,5군단,2022.12.12
7급,군수,인제,3군단,2022.12.12
7급,군수,포천,5군단,2022.12.12
7급,군수,고양,60사단,2022.12.12
7급,군수,시흥,1군지사(시흥),2022.12.12
7급,군수,여주,7군단(여주),2022.12.12
7급,군수,파주,1군단(파주),2022.12.12
7급,군수,가평,66사단,2022.12.12
7급,군수,서울,수도방위사령부,2022.12.12
7급,군수,용인,지상작전사,2022.12.12
7급,군수,춘천,2군단,2022.12.12
7급,군수,이천,항공사령부,2022.12.12
7급,군수,원주,1군지사,2022.12.12
7급,군수,화천,2군단(화천),2022.12.12
7급,군수,남양주,7공병여단(남양주),2022.12.12
7급,군수,인제,3군단,2022.12.12
7급,군수,강릉,1군지사(강릉),2022.12.12
7급,군수,서울,육군사관학교,2022.12.12
7급,군수,원주,1군지사,2022.12.12
7급,군수,화천,2군단(화천),2022.12.12
7급,군수,대전,2작사(대전),2022.12.12
7급,군수,부산,동원전력사(부산),2022.12.12
7급,군수,양평,1군지사(양평),2022.12.12
7급,군수,인천,수도군단(인천),2022.12.12
7급,군수,원주,36사단,2022.12.12
7급,군수,원주,1군지사,2022.12.12
7급,군수,고양,56사단,2022.12.12
7급,군수,포천,5군단,2022.12.12
7급,군수,포천,5군단,2022.12.12
7급,군수,평택,51사단(평택),2022.12.12
